"id,""matchDate"",""Country"",""League"",""Season"",""homeTeam"",""awayTeam"",""FTHG"",""FTAG"",""FTR"",""1HHG"",""1HAG"",""1HR"",""2HHG"",""2HAG"",""2HR"""
"1399,""01-03-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Real Madrid"",""Real Sociedad"",""1"",""1"",""D"",""0"",""0"",""D"",""1"",""1"",""D"""
"1398,""05-03-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Valencia"",""Villarreal"",""2"",""1"",""H"",""0"",""1"",""A"",""2"",""0"",""H"""
"1396,""06-03-21 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Elche"",""Sevilla"",""2"",""1"",""H"",""0"",""0"",""D"",""2"",""1"",""H"""
"1394,""06-03-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Osasuna"",""Barcelona"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
"1389,""08-03-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Betis"",""Alaves"",""3"",""2"",""H"",""0"",""2"",""A"",""3"",""0"",""H"""
"1385,""13-03-21 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Real Madrid"",""Elche"",""2"",""1"",""H"",""0"",""0"",""D"",""2"",""1"",""H"""
"1384,""13-03-21 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Osasuna"",""Valladolid"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1383,""13-03-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Getafe"",""Atl. Madrid"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1382,""14-03-21 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Celta Vigo"",""Ath Bilbao"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1381,""14-03-21 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Granada CF"",""Real Sociedad"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1380,""14-03-21 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Eibar"",""Villarreal"",""1"",""3"",""A"",""0"",""2"",""A"",""1"",""1"",""D"""
